,Theoretical eigenenergies,Numerical eigenenergies,$\Delta E=|E_{th}-E_{num}|$
37,-0.94729946022184130516,-0.9472994602218379,3.4416913763379852753e-15
38,-0.8832263930605985802,-0.883226393060601,2.442490654175344389e-15
39,-0.8205135497429371094,-0.8205135497429429,5.7731597280508140102e-15
40,-0.7598245055430029593,-0.7598245055430087,5.7731597280508140102e-15
41,-0.7020200040088456772,-0.7020200040088521,6.4392935428259079345e-15
42,-0.6482216023141498251,-0.6482216023141524,2.553512956637860043e-15
43,-0.5998776658001850892,-0.5998776658001872,2.1094237467877974268e-15
44,-0.558800069767988572,-0.5588000697679923,3.7747582837255322374e-15
45,-0.52710227985100976955,-0.527102279851012,2.2204460492503130808e-15
46,-0.5069385900473438733,-0.5069385900473438,1.1102230246251565404e-16
47,0.5069385900473438733,-2.940616849934535e-09,0.50693859298796072326
48,0.52710227985100976955,2.940615195630789e-09,0.5271022769103945739
49,0.558800069767988572,0.5069385900473441,0.051861479720644476643
50,0.5998776658001850892,0.527102279851012,0.07277538594917309922
51,0.6482216023141498251,0.5588000697679922,0.089421532546157589394
52,0.7020200040088456772,0.5998776658001869,0.10214233820865881164
53,0.7598245055430029593,0.6482216023141523,0.1116029032288506917
54,0.8205135497429371094,0.7020200040088518,0.11849354573408532598
55,0.8832263930605985802,0.7598245055430083,0.12340188751759029184
56,0.94729946022184130516,0.8205135497429429,0.12678591047889842258
57,1.0122148590866713036,0.8832263930606009,0.12898846602607039191
58,1.0775616688224742834,0.9472994602218375,0.130262208600636753
59,1.1430077491149703839,1.0122148590866695,0.13079289002830085664
60,1.2082794580542477458,1.0775616688224745,0.13071778923177324039
61,1.2731470843283401173,1.1430077491149755,0.1301393352133646264
62,1.3374143422799713576,1.208279458054242,0.12913488422572938497
63,1.4009107439230275016,1.273147084328338,0.12776365959468960476
64,1.4634860131989992915,1.3374143422799716,0.12607167091902771183
65,1.5250059587827382579,1.4009107439230206,0.124095214859717639655
66,1.5853493969821614851,1.4634860131990015,0.121863383783159973106
67,1.6444058375158707719,1.5250059587827345,0.119399878733136288744
68,1.702073728750890913,1.585349396982162,0.11672433176872898386
69,1.7582591171106343175,1.6444058375158646,0.113853279594769762895
70,1.8128746159313595676,1.7020737287508918,0.11080088718046776641
71,1.865838607578213626,1.7582591171106285,0.1075794904675850816
72,1.917074622868377265,1.812874615931358,0.10420000693701925165
73,1.9665108563309308121,1.8658386075782123,0.10067224875271851836
74,2.0140797862890629233,1.9170746228683766,0.09700516342068632447
75,2.0597178763681807112,1.966510856330929,0.093207020037251675504
76,2.1033653406321404233,2.014079786289062,0.08928555434307838823
77,2.144965958700170816,2.059717876368179,0.08524808233199188123
78,2.184466930299409082,2.1033653406321378,0.081101589667271323236
79,2.2218187610456507919,2.1449659587001726,0.07685280234547819944
80,2.2569751730205966922,2.1844669302994095,0.07250824272118716607
81,2.2898930350725410499,2.2218187610456486,0.06807427402689247842
82,2.320532308815132172,2.256975173020593,0.0635571357945390325
83,2.34885600711228415,2.289893035072544,0.05896297203973999146
84,2.3748301624740828508,2.3205323088151304,0.05429785365895245519
85,2.3984238032895364157,2.348856007112285,0.049567796177251377543
86,2.4196089362204782347,2.374830162474082,0.04477877374639627206
87,2.4383605333990194808,2.3984238032895373,0.039936730109482176942
88,2.454656523327919171,2.4196089362204796,0.035047587107439603926
89,2.468477784592102875,2.4383605333990195,0.030117251193083394156
90,2.4798081416614166095,2.45465652332792,0.025151618333496550406
91,2.4886343622076316784,2.4684777845921038,0.02015657761552791527
92,2.4949461554793539442,2.479808141661416,0.015138013817937778782
93,2.498736171381915394,2.4886343622076317,0.01010180917428371572
94,,2.494946155479353,
95,,2.4987361713819145,
